Function Name;Module;Source Info;Time Average (%);Time Min(s) [TID];Time Max(s) [TID];Time Average(s);
f64xsubf128;libm-2.28.so;;64.20;13.72 [1025];13.72 [1025];13.72;
exp;libm-2.28.so;;14.27;3.05 [1025];3.05 [1025];3.05;
baseline;binary;kernel.c:184;10.81;2.31 [1025];2.31 [1025];2.31;
Unknown functions;binary;;3.65;0.78 [1025];0.78 [1025];0.78;
@plt;libm-2.28.so;;3.56;0.76 [1025];0.76 [1025];0.76;
lgamma;libm-2.28.so;;3.46;0.74 [1025];0.74 [1025];0.74;
main;binary;driver.c:23;0.00;0.00 [1025];0.00 [1025];0.00;
apic_timer_interrupt;SYSTEM CALL;;0.00;0.00 [1025];0.00 [1025];0.00;
native_sched_clock;SYSTEM CALL;;0.00;0.00 [1025];0.00 [1025];0.00;
sched_clock_cpu;SYSTEM CALL;;0.00;0.00 [1025];0.00 [1025];0.00;
random;libc-2.28.so;;0.00;0.00 [1025];0.00 [1025];0.00;
hrtimer_interrupt;SYSTEM CALL;;0.00;0.00 [1025];0.00 [1025];0.00;
update_rq_clock;SYSTEM CALL;;0.00;0.00 [1025];0.00 [1025];0.00;
interrupt_entry;SYSTEM CALL;;0.00;0.00 [1025];0.00 [1025];0.00;
