Function Name;Module;Source Info;Time %;Time(s);CPI ratio;
f64xsubf128;libm-2.28.so;;64.21;13.72;0.27;
exp;libm-2.28.so;;14.26;3.05;0.39;
baseline;binary;kernel.c:184;10.81;2.31;0.23;
Unknown functions;binary;;3.67;0.78;0.15;
@plt;libm-2.28.so;;3.54;0.76;0.29;
lgamma;libm-2.28.so;;3.47;0.74;0.21;
interrupt_entry;SYSTEM CALL;;0.01;0.00;4.00;
apic_timer_interrupt;SYSTEM CALL;;0.01;0.00;0.00;
hrtimer_interrupt;SYSTEM CALL;;0.00;0.00;0.00;
random;libc-2.28.so;;0.00;0.00;0.00;
main;binary;driver.c:23;0.00;0.00;0.33;
update_rq_clock;SYSTEM CALL;;0.00;0.00;0.00;
native_sched_clock;SYSTEM CALL;;0.00;0.00;0.00;
sched_clock_cpu;SYSTEM CALL;;0.00;0.00;0.00;
