Function Name;Module;Source Info;Time Average (%);Time Min(s) [TID];Time Max(s) [TID];Time Average(s);
f64xsubf128;libm-2.28.so;;62.86;6.24 [1255];6.24 [1255];6.24;
baseline;binary;kernel.c:89;29.32;2.91 [1255];2.91 [1255];2.91;
Unknown functions;binary;;7.66;0.76 [1255];0.76 [1255];0.76;
bitfill_aligned;SYSTEM CALL;;0.00;0.00 [1255];0.00 [1255];0.00;
interrupt_entry;SYSTEM CALL;;0.00;0.00 [1255];0.00 [1255];0.00;
read_tsc;SYSTEM CALL;;0.00;0.00 [1255];0.00 [1255];0.00;
apic_timer_interrupt;SYSTEM CALL;;0.00;0.00 [1255];0.00 [1255];0.00;
random;libc-2.28.so;;0.00;0.00 [1255];0.00 [1255];0.00;
notifier_call_chain;SYSTEM CALL;;0.00;0.00 [1255];0.00 [1255];0.00;
cfb_imageblit;SYSTEM CALL;;0.00;0.00 [1255];0.00 [1255];0.00;
thermal_interrupt;SYSTEM CALL;;0.00;0.00 [1255];0.00 [1255];0.00;
vprintk_emit;SYSTEM CALL;;0.00;0.00 [1255];0.00 [1255];0.00;
main;binary;driver.c:23;0.00;0.00 [1255];0.00 [1255];0.00;
native_write_msr_safe;SYSTEM CALL;;0.00;0.00 [1255];0.00 [1255];0.00;
__wake_up_common_lock;SYSTEM CALL;;0.00;0.00 [1255];0.00 [1255];0.00;
