Function Name;Module;Source Info;Time Average (%);Time Min(s) [TID];Time Max(s) [TID];Time Average(s);
f64xsubf128;libm-2.28.so;;66.82;14.02 [1117];14.02 [1117];14.02;
exp;libm-2.28.so;;15.11;3.17 [1117];3.17 [1117];3.17;
baseline;binary;kernel.c:30;8.29;1.74 [1117];1.74 [1117];1.74;
@plt;libm-2.28.so;;3.57;0.75 [1117];0.75 [1117];0.75;
lgamma;libm-2.28.so;;3.57;0.75 [1117];0.75 [1117];0.75;
Unknown functions;binary;;2.53;0.53 [1117];0.53 [1117];0.53;
swapgs_restore_regs_and_return_to_usermode;SYSTEM CALL;;0.00;0.00 [1117];0.00 [1117];0.00;
apic_timer_interrupt;SYSTEM CALL;;0.00;0.00 [1117];0.00 [1117];0.00;
_raw_spin_unlock_irqrestore;SYSTEM CALL;;0.00;0.00 [1117];0.00 [1117];0.00;
ext4_finish_bio;SYSTEM CALL;;0.00;0.00 [1117];0.00 [1117];0.00;
enqueue_entity;SYSTEM CALL;;0.00;0.00 [1117];0.00 [1117];0.00;
perf_event_task_tick;SYSTEM CALL;;0.00;0.00 [1117];0.00 [1117];0.00;
ahci_single_level_irq_intr;SYSTEM CALL;;0.00;0.00 [1117];0.00 [1117];0.00;
setstate;libc-2.28.so;;0.00;0.00 [1117];0.00 [1117];0.00;
main;binary;driver.c:23;0.00;0.00 [1117];0.00 [1117];0.00;
idle_cpu;SYSTEM CALL;;0.00;0.00 [1117];0.00 [1117];0.00;
__hrtimer_run_queues;SYSTEM CALL;;0.00;0.00 [1117];0.00 [1117];0.00;
interrupt_entry;SYSTEM CALL;;0.00;0.00 [1117];0.00 [1117];0.00;
