Function Name;Module;Source Info;Time %;Time(s);CPI ratio;
f64xsubf128;libm-2.28.so;;66.83;14.02;0.27;
exp;libm-2.28.so;;15.12;3.17;0.37;
baseline;binary;kernel.c:30;8.29;1.74;0.22;
lgamma;libm-2.28.so;;3.59;0.75;0.16;
@plt;libm-2.28.so;;3.56;0.75;0.23;
Unknown functions;binary;;2.54;0.53;0.20;
interrupt_entry;SYSTEM CALL;;0.02;0.00;0.00;
apic_timer_interrupt;SYSTEM CALL;;0.01;0.00;0.00;
main;binary;driver.c:23;0.01;0.00;0.40;
ahci_single_level_irq_intr;SYSTEM CALL;;0.00;0.00;0.00;
setstate;libc-2.28.so;;0.00;0.00;1.00;
ext4_finish_bio;SYSTEM CALL;;0.00;0.00;0.00;
idle_cpu;SYSTEM CALL;;0.00;0.00;0.00;
perf_event_task_tick;SYSTEM CALL;;0.00;0.00;0.00;
_raw_spin_unlock_irqrestore;SYSTEM CALL;;0.00;0.00;0.00;
swapgs_restore_regs_and_return_to_usermode;SYSTEM CALL;;0.00;0.00;0.00;
__hrtimer_run_queues;SYSTEM CALL;;0.00;0.00;0.00;
enqueue_entity;SYSTEM CALL;;0.00;0.00;0.00;
