Function Name;Module;Source Info;Time Average (%);Time Min(s) [TID];Time Max(s) [TID];Time Average(s);
f64xsubf128;libm-2.28.so;;63.81;13.66 [1071];13.66 [1071];13.66;
exp;libm-2.28.so;;14.06;3.01 [1071];3.01 [1071];3.01;
baseline;binary;kernel.c:14;11.40;2.44 [1071];2.44 [1071];2.44;
Unknown functions;binary;;3.69;0.79 [1071];0.79 [1071];0.79;
@plt;libm-2.28.so;;3.55;0.76 [1071];0.76 [1071];0.76;
lgamma;libm-2.28.so;;3.46;0.74 [1071];0.74 [1071];0.74;
read_tsc;SYSTEM CALL;;0.00;0.00 [1071];0.00 [1071];0.00;
native_sched_clock;SYSTEM CALL;;0.00;0.00 [1071];0.00 [1071];0.00;
_raw_spin_lock;SYSTEM CALL;;0.00;0.00 [1071];0.00 [1071];0.00;
rand;libc-2.28.so;;0.00;0.00 [1071];0.00 [1071];0.00;
random_r;libc-2.28.so;;0.00;0.00 [1071];0.00 [1071];0.00;
cfb_imageblit;SYSTEM CALL;;0.00;0.00 [1071];0.00 [1071];0.00;
native_apic_mem_write;SYSTEM CALL;;0.00;0.00 [1071];0.00 [1071];0.00;
apic_timer_interrupt;SYSTEM CALL;;0.00;0.00 [1071];0.00 [1071];0.00;
_raw_spin_lock_irqsave;SYSTEM CALL;;0.00;0.00 [1071];0.00 [1071];0.00;
main;binary;driver.c:23;0.00;0.00 [1071];0.00 [1071];0.00;
swapgs_restore_regs_and_return_to_usermode;SYSTEM CALL;;0.00;0.00 [1071];0.00 [1071];0.00;
interrupt_entry;SYSTEM CALL;;0.00;0.00 [1071];0.00 [1071];0.00;
