Function Name;Module;Source Info;Time %;Time(s);CPI ratio;
f64xsubf128;libm-2.28.so;;66.07;13.73;0.27;
exp;libm-2.28.so;;14.85;3.09;0.40;
baseline;binary;kernel.c:43;9.39;1.95;0.23;
lgamma;libm-2.28.so;;3.83;0.80;0.22;
@plt;libm-2.28.so;;3.73;0.78;0.20;
Unknown functions;binary;;2.05;0.43;0.15;
apic_timer_interrupt;SYSTEM CALL;;0.01;0.00;0.00;
ktime_get_update_offsets_now;SYSTEM CALL;;0.01;0.00;2.00;
__update_load_avg_se;SYSTEM CALL;;0.01;0.00;0.00;
read_tsc;SYSTEM CALL;;0.01;0.00;0.00;
interrupt_entry;SYSTEM CALL;;0.01;0.00;0.00;
notifier_call_chain;SYSTEM CALL;;0.00;0.00;0.00;
ktime_get;SYSTEM CALL;;0.00;0.00;0.00;
main;binary;driver.c:23;0.00;0.00;1.00;
filemap_map_pages;SYSTEM CALL;;0.00;0.00;0.00;
random_r;libc-2.28.so;;0.00;0.00;1.00;
_raw_spin_lock_irq;SYSTEM CALL;;0.00;0.00;0.00;
tick_sched_timer;SYSTEM CALL;;0.00;0.00;0.00;
swapcontext;libc-2.28.so;;0.00;0.00;0.00;
task_tick_fair;SYSTEM CALL;;0.00;0.00;0.00;
cpuacct_charge;SYSTEM CALL;;0.00;0.00;0.00;
irq_work_interrupt;SYSTEM CALL;;0.00;0.00;0.00;
native_apic_mem_write;SYSTEM CALL;;0.00;0.00;0.00;
