Function Name;Module;Source Info;Time Average (%);Time Min(s) [TID];Time Max(s) [TID];Time Average(s);
f64xsubf128;libm-2.28.so;;66.05;13.73 [1163];13.73 [1163];13.73;
exp;libm-2.28.so;;14.86;3.09 [1163];3.09 [1163];3.09;
baseline;binary;kernel.c:43;9.38;1.95 [1163];1.95 [1163];1.95;
lgamma;libm-2.28.so;;3.85;0.80 [1163];0.80 [1163];0.80;
@plt;libm-2.28.so;;3.75;0.78 [1163];0.78 [1163];0.78;
Unknown functions;binary;;2.07;0.43 [1163];0.43 [1163];0.43;
tick_sched_timer;SYSTEM CALL;;0.00;0.00 [1163];0.00 [1163];0.00;
_raw_spin_lock_irq;SYSTEM CALL;;0.00;0.00 [1163];0.00 [1163];0.00;
random_r;libc-2.28.so;;0.00;0.00 [1163];0.00 [1163];0.00;
cpuacct_charge;SYSTEM CALL;;0.00;0.00 [1163];0.00 [1163];0.00;
task_tick_fair;SYSTEM CALL;;0.00;0.00 [1163];0.00 [1163];0.00;
notifier_call_chain;SYSTEM CALL;;0.00;0.00 [1163];0.00 [1163];0.00;
native_apic_mem_write;SYSTEM CALL;;0.00;0.00 [1163];0.00 [1163];0.00;
apic_timer_interrupt;SYSTEM CALL;;0.00;0.00 [1163];0.00 [1163];0.00;
main;binary;driver.c:23;0.00;0.00 [1163];0.00 [1163];0.00;
irq_work_interrupt;SYSTEM CALL;;0.00;0.00 [1163];0.00 [1163];0.00;
ktime_get_update_offsets_now;SYSTEM CALL;;0.00;0.00 [1163];0.00 [1163];0.00;
swapcontext;libc-2.28.so;;0.00;0.00 [1163];0.00 [1163];0.00;
read_tsc;SYSTEM CALL;;0.00;0.00 [1163];0.00 [1163];0.00;
__update_load_avg_se;SYSTEM CALL;;0.00;0.00 [1163];0.00 [1163];0.00;
filemap_map_pages;SYSTEM CALL;;0.00;0.00 [1163];0.00 [1163];0.00;
ktime_get;SYSTEM CALL;;0.00;0.00 [1163];0.00 [1163];0.00;
interrupt_entry;SYSTEM CALL;;0.00;0.00 [1163];0.00 [1163];0.00;
