Function Name;Module;Source Info;Time Average (%);Time Min(s) [TID];Time Max(s) [TID];Time Average(s);
omp_get_num_procs;libgomp.so.1.0.0;;48.95;3.56 [1348];24.52 [1350];17.73;
f64xsubf128;libm-2.28.so;;21.75;7.49 [1348];8.37 [1352];7.88;
baseline._omp_fn.0;binary;kernel.c:139;6.93;1.24 [1348];3.92 [1351];2.51;
omp_in_final;libgomp.so.1.0.0;;6.14;0.11 [1350];5.38 [1348];2.22;
__entry_SYSCALL_64_trampoline;SYSTEM CALL;;3.89;0.01 [1352];5.61 [1348];1.41;
syscall_return_via_sysret;SYSTEM CALL;;3.26;0.01 [1352];4.69 [1348];1.18;
exp;libm-2.28.so;;2.46;0.86 [1348];0.93 [1350];0.89;
do_futex;SYSTEM CALL;;0.73;0.00 [1352];1.05 [1348];0.27;
@plt;libm-2.28.so;;0.59;0.20 [1348];0.22 [1352];0.21;
lgamma;libm-2.28.so;;0.58;0.19 [1352];0.22 [1350];0.21;
Unknown functions;binary;;0.55;0.17 [1350];0.22 [1348];0.20;
__x64_sys_futex;SYSTEM CALL;;0.51;0.00 [1352];0.74 [1348];0.18;
do_syscall_64;SYSTEM CALL;;0.47;0.00 [1352];0.68 [1348];0.17;
futex_wake;SYSTEM CALL;;0.46;0.00 [1352];0.66 [1348];0.17;
get_futex_key;SYSTEM CALL;;0.41;0.00 [1351];0.59 [1348];0.15;
entry_SYSCALL_64_after_hwframe;SYSTEM CALL;;0.37;0.00 [1351];0.54 [1348];0.14;
hash_futex;SYSTEM CALL;;0.36;0.00 [1351];0.52 [1348];0.13;
GOMP_single_copy_end;libgomp.so.1.0.0;;0.33;0.48 [1348];0.48 [1348];0.12;
entry_SYSCALL_64_stage2;SYSTEM CALL;;0.30;0.00 [1352];0.43 [1348];0.11;
get_futex_key_refs.isra.15;SYSTEM CALL;;0.26;0.00 [1350];0.37 [1348];0.09;
omp_get_num_threads;libgomp.so.1.0.0;;0.21;0.03 [1350];0.11 [1348];0.08;
GOMP_parallel_end;libgomp.so.1.0.0;;0.09;0.13 [1348];0.13 [1348];0.03;
__indirect_thunk_start;SYSTEM CALL;;0.08;0.12 [1348];0.12 [1348];0.03;
GOMP_parallel;libgomp.so.1.0.0;;0.08;0.11 [1348];0.11 [1348];0.03;
