Function Name;Module;Source Info;Time %;Time(s);CPI ratio;
omp_get_num_procs;libgomp.so.1.0.0;;58.25;21.10;11.34;
f64xsubf128;libm-2.28.so;;22.04;7.98;0.47;
baseline._omp_fn.0;binary;kernel.c:139;10.81;3.92;1.84;
omp_in_final;libgomp.so.1.0.0;;4.25;1.54;7.79;
exp;libm-2.28.so;;2.42;0.88;1.12;
@plt;libm-2.28.so;;0.62;0.22;1.34;
lgamma;libm-2.28.so;;0.59;0.22;0.78;
Unknown functions;binary;;0.52;0.19;1.05;
omp_get_num_threads;libgomp.so.1.0.0;;0.27;0.10;4.34;
unknown kernel region;SYSTEM CALL;;0.04;0.01;4.75;
GOMP_cancel;libgomp.so.1.0.0;;0.04;0.01;19.00;
syscall_return_via_sysret;SYSTEM CALL;;0.04;0.01;1.73;
omp_get_thread_num;libgomp.so.1.0.0;;0.03;0.01;2.80;
do_futex;SYSTEM CALL;;0.01;0.00;0.57;
futex_wake;SYSTEM CALL;;0.01;0.00;1.00;
entry_SYSCALL_64_after_hwframe;SYSTEM CALL;;0.01;0.00;3.00;
hash_futex;SYSTEM CALL;;0.00;0.00;0.33;
__x64_sys_futex;SYSTEM CALL;;0.00;0.00;0.25;
apic_timer_interrupt;SYSTEM CALL;;0.00;0.00;0.00;
cpuacct_account_field;SYSTEM CALL;;0.00;0.00;0.00;
rb_next;SYSTEM CALL;;0.00;0.00;0.00;
get_futex_key;SYSTEM CALL;;0.00;0.00;0.50;
read_tsc;SYSTEM CALL;;0.00;0.00;1.00;
ktime_get;SYSTEM CALL;;0.00;0.00;0.00;
sched_clock_tick;SYSTEM CALL;;0.00;0.00;0.00;
ahci_handle_port_intr;SYSTEM CALL;;0.00;0.00;0.00;
swapgs_restore_regs_and_return_to_usermode;SYSTEM CALL;;0.00;0.00;0.00;
drop_futex_key_refs.isra.16;SYSTEM CALL;;0.00;0.00;1.00;
_raw_spin_lock_irqsave;SYSTEM CALL;;0.00;0.00;0.00;
rcu_check_callbacks;SYSTEM CALL;;0.00;0.00;0.00;
do_syscall_64;SYSTEM CALL;;0.00;0.00;0.50;
irq_work_run_list;SYSTEM CALL;;0.00;0.00;0.00;
__hrtimer_next_event_base;SYSTEM CALL;;0.00;0.00;0.00;
