Function Name;Module;Source Info;Time %;Time(s);CPI ratio;
f64xsubf128;libm-2.28.so;;63.91;13.66;0.27;
exp;libm-2.28.so;;14.42;3.08;0.39;
baseline;binary;kernel.c:72;10.92;2.33;0.22;
Unknown functions;binary;;3.69;0.79;0.16;
@plt;libm-2.28.so;;3.51;0.75;0.27;
lgamma;libm-2.28.so;;3.49;0.75;0.21;
native_apic_mem_write;SYSTEM CALL;;0.01;0.00;0.00;
interrupt_entry;SYSTEM CALL;;0.01;0.00;0.00;
main;binary;driver.c:23;0.00;0.00;0.50;
test_clear_page_writeback;SYSTEM CALL;;0.00;0.00;1.00;
_raw_spin_unlock_irqrestore;SYSTEM CALL;;0.00;0.00;0.00;
ktime_get;SYSTEM CALL;;0.00;0.00;0.00;
__softirqentry_text_start;SYSTEM CALL;;0.00;0.00;0.00;
ext4_finish_bio;SYSTEM CALL;;0.00;0.00;0.00;
blk_update_request;SYSTEM CALL;;0.00;0.00;0.00;
task_tick_fair;SYSTEM CALL;;0.00;0.00;0.00;
apic_timer_interrupt;SYSTEM CALL;;0.00;0.00;0.00;
read_tsc;SYSTEM CALL;;0.00;0.00;0.00;
hrtimer_interrupt;SYSTEM CALL;;0.00;0.00;0.00;
perf_event_task_tick;SYSTEM CALL;;0.00;0.00;0.00;
_raw_spin_lock_irq;SYSTEM CALL;;0.00;0.00;1.00;
