Function Name;Module;Source Info;Time Average (%);Time Min(s) [TID];Time Max(s) [TID];Time Average(s);
f64xsubf128;libm-2.28.so;;63.89;13.66 [1209];13.66 [1209];13.66;
exp;libm-2.28.so;;14.41;3.08 [1209];3.08 [1209];3.08;
baseline;binary;kernel.c:72;10.90;2.33 [1209];2.33 [1209];2.33;
Unknown functions;binary;;3.70;0.79 [1209];0.79 [1209];0.79;
lgamma;libm-2.28.so;;3.51;0.75 [1209];0.75 [1209];0.75;
@plt;libm-2.28.so;;3.51;0.75 [1209];0.75 [1209];0.75;
native_apic_mem_write;SYSTEM CALL;;0.00;0.00 [1209];0.00 [1209];0.00;
task_tick_fair;SYSTEM CALL;;0.00;0.00 [1209];0.00 [1209];0.00;
blk_update_request;SYSTEM CALL;;0.00;0.00 [1209];0.00 [1209];0.00;
hrtimer_interrupt;SYSTEM CALL;;0.00;0.00 [1209];0.00 [1209];0.00;
ext4_finish_bio;SYSTEM CALL;;0.00;0.00 [1209];0.00 [1209];0.00;
read_tsc;SYSTEM CALL;;0.00;0.00 [1209];0.00 [1209];0.00;
apic_timer_interrupt;SYSTEM CALL;;0.00;0.00 [1209];0.00 [1209];0.00;
main;binary;driver.c:23;0.00;0.00 [1209];0.00 [1209];0.00;
perf_event_task_tick;SYSTEM CALL;;0.00;0.00 [1209];0.00 [1209];0.00;
test_clear_page_writeback;SYSTEM CALL;;0.00;0.00 [1209];0.00 [1209];0.00;
_raw_spin_unlock_irqrestore;SYSTEM CALL;;0.00;0.00 [1209];0.00 [1209];0.00;
interrupt_entry;SYSTEM CALL;;0.00;0.00 [1209];0.00 [1209];0.00;
ktime_get;SYSTEM CALL;;0.00;0.00 [1209];0.00 [1209];0.00;
__softirqentry_text_start;SYSTEM CALL;;0.00;0.00 [1209];0.00 [1209];0.00;
_raw_spin_lock_irq;SYSTEM CALL;;0.00;0.00 [1209];0.00 [1209];0.00;
