Function Name;Module;Source Info;Time %;Time(s);CPI ratio;
_ZGVeN16vvv_sincosf;libmvec-2.28.so;;74.30;30.48;0.34;
baseline;binary;;24.09;9.88;0.27;
_ZGVdN4v___exp_finite;binary;;1.47;0.60;0.22;
main;binary;driver.c:24;0.05;0.02;0.64;
cfb_imageblit;SYSTEM CALL;;0.01;0.00;0.22;
native_write_msr_safe;SYSTEM CALL;;0.01;0.00;0.00;
native_read_msr;SYSTEM CALL;;0.01;0.01;0.00;
vprintk_emit;SYSTEM CALL;;0.01;0.00;0.00;
vmacache_find;SYSTEM CALL;;0.00;0.00;0.00;
lapic_next_event;SYSTEM CALL;;0.00;0.00;0.00;
run_posix_cpu_timers;SYSTEM CALL;;0.00;0.00;1.00;
swapgs_restore_regs_and_return_to_usermode;SYSTEM CALL;;0.00;0.00;0.50;
thermal_interrupt;SYSTEM CALL;;0.00;0.00;0.00;
tick_program_event;SYSTEM CALL;;0.00;0.00;0.00;
read_hpet;SYSTEM CALL;;0.00;0.00;0.00;
__fmodf_finite;libm-2.28.so;;0.00;0.00;0.33;
interrupt_entry;SYSTEM CALL;;0.00;0.00;0.50;
update_fast_timekeeper;SYSTEM CALL;;0.00;0.00;0.00;
irq_exit;SYSTEM CALL;;0.00;0.00;0.00;
apic_timer_interrupt;SYSTEM CALL;;0.00;0.00;0.00;
random_r;libc-2.28.so;;0.00;0.00;0.12;
random;libc-2.28.so;;0.00;0.00;1.00;
native_apic_mem_write;SYSTEM CALL;;0.00;0.00;0.00;
_raw_spin_unlock_irqrestore;SYSTEM CALL;;0.00;0.00;0.00;
hrtimer_forward;SYSTEM CALL;;0.00;0.00;0.00;
task_tick_fair;SYSTEM CALL;;0.00;0.00;0.00;
pvclock_gtod_notify;SYSTEM CALL;;0.00;0.00;0.00;
__accumulate_pelt_segments;SYSTEM CALL;;0.00;0.00;1.00;
ktime_get_update_offsets_now;SYSTEM CALL;;0.00;0.00;1.00;
_raw_spin_lock_irqsave;SYSTEM CALL;;0.00;0.00;2.00;
hrtimer_interrupt;SYSTEM CALL;;0.00;0.00;0.00;
__indirect_thunk_start;SYSTEM CALL;;0.00;0.00;0.00;
