Function Name;Module;Source Info;Time %;Time(s);CPI ratio;
f64xsubf128;libm-2.28.so;;63.65;135.01;0.26;
exp;libm-2.28.so;;14.61;30.99;0.41;
baseline;binary;kernel.c:15;10.88;23.07;0.23;
lgamma;libm-2.28.so;;3.65;7.73;0.22;
Unknown functions;binary;;3.61;7.65;0.15;
@plt;libm-2.28.so;;3.56;7.56;0.28;
ktime_get_update_offsets_now;SYSTEM CALL;;0.00;0.00;1.00;
rcu_check_callbacks;SYSTEM CALL;;0.00;0.00;0.50;
__update_load_avg_cfs_rq;SYSTEM CALL;;0.00;0.00;1.00;
update_process_times;SYSTEM CALL;;0.00;0.00;0.00;
ktime_get;SYSTEM CALL;;0.00;0.00;5.00;
hrtimer_active;SYSTEM CALL;;0.00;0.00;0.50;
interrupt_entry;SYSTEM CALL;;0.00;0.00;3.00;
cpu_load_update_active;SYSTEM CALL;;0.00;0.00;0.00;
smp_apic_timer_interrupt;SYSTEM CALL;;0.00;0.00;1.00;
read_tsc;SYSTEM CALL;;0.00;0.00;3.00;
perf_event_task_tick;SYSTEM CALL;;0.00;0.00;1.00;
read_hpet;SYSTEM CALL;;0.00;0.00;0.00;
raise_softirq;SYSTEM CALL;;0.00;0.00;1.00;
apic_timer_interrupt;SYSTEM CALL;;0.00;0.01;3.67;
hrtimer_interrupt;SYSTEM CALL;;0.00;0.00;0.75;
resched_curr;SYSTEM CALL;;0.00;0.00;0.00;
prepare_exit_to_usermode;SYSTEM CALL;;0.00;0.00;0.33;
__softirqentry_text_start;SYSTEM CALL;;0.00;0.00;0.60;
swapgs_restore_regs_and_return_to_usermode;SYSTEM CALL;;0.00;0.01;1.11;
__hrtimer_run_queues;SYSTEM CALL;;0.00;0.00;1.33;
ret_from_intr;SYSTEM CALL;;0.00;0.00;0.00;
native_apic_mem_write;SYSTEM CALL;;0.00;0.00;1.00;
_raw_spin_lock_irq;SYSTEM CALL;;0.00;0.00;0.50;
_raw_spin_lock;SYSTEM CALL;;0.00;0.00;0.50;
_raw_spin_lock_irqsave;SYSTEM CALL;;0.00;0.00;0.50;
_raw_spin_unlock_irqrestore;SYSTEM CALL;;0.00;0.00;1.00;
__fmodf_finite;libm-2.28.so;;0.00;0.00;1.67;
irq_exit;SYSTEM CALL;;0.00;0.00;0.33;
pvclock_gtod_notify;SYSTEM CALL;;0.00;0.00;0.00;
__update_load_avg_se;SYSTEM CALL;;0.00;0.00;1.00;
update_min_vruntime;SYSTEM CALL;;0.00;0.00;0.00;
bitfill_aligned;SYSTEM CALL;;0.00;0.00;0.00;
__hrtimer_get_next_event;SYSTEM CALL;;0.00;0.00;0.00;
tick_sched_handle;SYSTEM CALL;;0.00;0.00;0.00;
main;binary;driver.c:24;0.00;0.01;0.44;
update_vsyscall;SYSTEM CALL;;0.00;0.00;0.00;
random_r;libc-2.28.so;;0.00;0.00;0.75;
cpu_load_update;SYSTEM CALL;;0.00;0.00;1.00;
timekeeping_advance;SYSTEM CALL;;0.00;0.00;0.33;
cgroup_rstat_updated;SYSTEM CALL;;0.00;0.00;1.00;
timerqueue_del;SYSTEM CALL;;0.00;0.00;0.00;
cpuacct_charge;SYSTEM CALL;;0.00;0.00;0.00;
run_timer_softirq;SYSTEM CALL;;0.00;0.00;0.50;
__indirect_thunk_start;SYSTEM CALL;;0.00;0.00;0.00;
lapic_next_event;SYSTEM CALL;;0.00;0.00;2.00;
native_sched_clock;SYSTEM CALL;;0.00;0.00;1.00;
